City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Itarema,BR,-2.9248,-39.9167,80.74,80,98,13.62,overcast clouds
80,Porkhov,RU,57.765,29.5561,32.0,64,40,4.47,scattered clouds
81,Longyearbyen,SJ,78.2186,15.6401,28.4,69,20,14.97,few clouds
82,Benguela,AO,-12.5763,13.4055,80.91,84,82,0.31,broken clouds
83,Cape Town,ZA,-33.9258,18.4232,64.0,88,0,8.05,clear sky
84,Trat,TH,12.5,102.5,82.99,99,35,1.19,scattered clouds
85,Napoleon,US,41.3923,-84.1252,68.0,100,90,13.8,overcast clouds
86,Geraldton,AU,-28.7667,114.6,69.8,60,98,17.27,overcast clouds
87,Atuona,PF,-9.8,-139.0333,81.1,70,8,15.43,clear sky
88,Nalut,LY,30.3333,10.85,60.28,55,17,17.2,few clouds
89,Te Anau,NZ,-45.4167,167.7167,60.21,52,11,5.19,few clouds
90,Isangel,VU,-19.55,169.2667,86.0,70,75,9.22,broken clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,84.2,37,1,11.5,clear sky
92,Upernavik,GL,72.7868,-56.1549,23.32,74,100,2.95,overcast clouds
93,Veraval,IN,20.9,70.3667,77.63,73,0,11.65,clear sky
94,Taoudenni,ML,22.6783,-3.9836,83.32,11,2,9.93,clear sky
95,Okato,NZ,-39.2,173.8833,64.99,71,100,8.99,overcast clouds
96,Puerto Colombia,CO,10.9878,-74.9547,80.6,78,40,9.22,scattered clouds
97,Sanarate,GT,14.795,-90.1922,73.4,68,40,13.8,haze
98,Souillac,MU,-20.5167,57.5167,77.0,83,40,6.91,scattered clouds
99,Tecoanapa,MX,16.5167,-98.75,82.8,58,0,10.31,clear sky
100,Elizabeth City,US,36.2946,-76.2511,62.6,72,75,8.05,broken clouds
101,Bambous Virieux,MU,-20.3428,57.7575,79.0,83,40,6.91,scattered clouds
102,Pringsewu,ID,-5.3582,104.9744,74.88,91,100,0.72,overcast clouds
103,Benghazi,LY,32.1167,20.0667,58.44,62,83,23.89,broken clouds
104,Neuquen,AR,-38.9516,-68.0591,66.2,42,75,8.05,broken clouds
105,Valparaiso,CL,-33.0393,-71.6273,64.4,52,0,9.22,clear sky
106,Bay Roberts,CA,47.5999,-53.2648,41.0,99,98,8.01,overcast clouds
107,Anadyr,RU,64.75,177.4833,-2.0,71,0,4.47,clear sky
108,Faanui,PF,-16.4833,-151.75,81.84,72,15,9.44,few clouds
109,Naze,JP,28.3667,129.4833,68.0,64,75,8.05,broken clouds
110,Muros,ES,42.7762,-9.0603,50.0,92,43,7.07,scattered clouds
111,Kapaa,US,22.0752,-159.319,78.8,57,75,14.97,light rain
112,Morant Bay,JM,17.8815,-76.4093,78.8,89,40,5.75,scattered clouds
113,Rocha,UY,-34.4833,-54.3333,69.73,81,100,7.47,overcast clouds
114,Bocana De Paiwas,NI,12.7857,-85.1227,84.4,54,82,11.34,broken clouds
115,Buloh Kasap,MY,2.5536,102.764,77.0,94,40,1.14,scattered clouds
116,Divnomorskoye,RU,44.5011,38.1353,42.69,89,100,13.78,light rain
117,Verkhnyaya Inta,RU,65.9811,60.3094,36.37,74,35,25.81,scattered clouds
118,Muhos,FI,64.808,25.9931,26.6,93,0,6.91,clear sky
119,Lata,PT,40.1629,-8.3327,59.0,86,100,2.48,overcast clouds
120,Batemans Bay,AU,-35.7167,150.1833,69.01,83,100,1.01,overcast clouds
121,Puerto El Triunfo,SV,13.2833,-88.55,89.6,62,20,2.3,few clouds
122,New Norfolk,AU,-42.7826,147.0587,57.0,66,58,3.0,broken clouds
123,Sussex,US,41.1834,-74.6663,68.0,40,1,6.91,clear sky
124,Dronninglund,DK,57.1604,10.2929,43.0,87,90,29.93,overcast clouds
125,Carnarvon,AU,-24.8667,113.6333,75.2,73,75,11.5,broken clouds
126,Turukhansk,RU,65.8167,87.9833,13.62,95,100,3.11,overcast clouds
127,Kharp,RU,66.8014,65.8081,29.91,98,100,9.71,overcast clouds
128,Guerrero Negro,MX,27.9769,-114.0611,70.74,49,0,20.92,clear sky
129,Faya,SA,18.3851,42.4509,64.4,63,0,4.61,clear sky
130,Muravlenko,RU,63.7898,74.523,30.27,92,100,6.38,overcast clouds
131,Cidreira,BR,-30.1811,-50.2056,74.66,79,63,24.54,broken clouds
132,Bonavista,CA,48.6499,-53.1147,39.2,100,79,2.3,broken clouds
133,Pevek,RU,69.7008,170.3133,-7.76,85,46,1.16,scattered clouds
134,Cayenne,GF,4.9333,-52.3333,79.0,94,75,4.61,heavy intensity rain
135,Meulaboh,ID,4.1363,96.1285,76.19,90,86,4.34,overcast clouds
136,Nishihara,JP,26.1842,127.7558,73.4,64,75,10.36,broken clouds
137,Clyde River,CA,70.4692,-68.5914,10.4,92,90,34.52,snow
138,Hambantota,LK,6.1241,81.1185,77.07,83,20,5.19,few clouds
139,Cervo,ES,43.6702,-7.4101,52.0,87,7,4.56,clear sky
140,Alihe,CN,50.5667,123.7167,38.19,27,22,4.07,few clouds
141,Port Alfred,ZA,-33.5906,26.891,65.01,86,37,4.94,scattered clouds
142,Mount Pleasant,US,32.7941,-79.8626,68.0,68,1,9.48,clear sky
143,Vardo,NO,70.3705,31.1107,33.91,79,100,18.81,overcast clouds
144,Kathmandu,NP,27.7167,85.3167,55.4,76,20,2.3,mist
145,Bathsheba,BB,13.2167,-59.5167,80.6,61,20,11.5,few clouds
146,Berlevag,NO,70.8578,29.0864,32.36,76,100,12.3,overcast clouds
147,Manokwari,ID,-0.8667,134.0833,82.4,67,98,0.89,overcast clouds
148,San Patricio,US,28.017,-97.5169,78.8,73,40,17.27,scattered clouds
149,Hasaki,JP,35.7333,140.8333,53.6,50,75,5.75,broken clouds
150,Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,5.75,clear sky
151,Albany,US,42.6001,-73.9662,71.6,32,40,6.91,scattered clouds
152,Lompoc,US,34.6391,-120.4579,60.8,59,50,19.57,scattered clouds
153,Ternate,ID,0.8,127.4,82.13,69,99,3.22,overcast clouds
154,Qaqortoq,GL,60.7167,-46.0333,35.6,69,75,3.44,broken clouds
155,Toguchin,RU,55.2353,84.3858,31.8,87,99,6.71,overcast clouds
156,Srednekolymsk,RU,67.45,153.6833,14.16,85,100,4.32,overcast clouds
157,Williams Lake,CA,52.1415,-122.1445,50.0,38,75,10.36,broken clouds
158,Acarau,BR,-2.8856,-40.12,80.82,80,99,14.7,overcast clouds
159,Les Cayes,HT,18.2,-73.75,76.35,84,100,3.65,overcast clouds
160,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.41,76,55,9.73,broken clouds
161,Carballo,ES,43.213,-8.691,53.01,93,0,4.61,clear sky
162,Dingle,PH,10.9995,122.6711,80.42,72,77,7.47,broken clouds
163,Biak,ID,-0.9131,122.8766,76.41,89,99,1.79,overcast clouds
164,Narsaq,GL,60.9167,-46.05,35.6,69,75,3.44,broken clouds
165,Lubao,PH,14.9167,120.55,80.6,74,75,2.3,broken clouds
166,Sambava,MG,-14.2667,50.1667,74.79,88,100,7.99,overcast clouds
167,Pisco,PE,-13.7,-76.2167,70.0,78,0,21.85,clear sky
168,Cobh,IE,51.8572,-8.2992,43.0,93,40,9.22,scattered clouds
169,Escanaba,US,45.7453,-87.0646,50.0,93,90,5.75,overcast clouds
170,Labuan,MY,5.2767,115.2417,77.0,100,20,6.73,few clouds
171,Marsa Matruh,EG,31.3525,27.2453,57.2,77,0,11.5,clear sky
172,Udachnyy,RU,66.4167,112.4,1.33,90,100,15.41,overcast clouds
173,Denpasar,ID,-8.65,115.2167,80.6,83,20,2.3,few clouds
174,Lafiagi,NG,8.8667,5.4167,83.55,53,70,5.03,broken clouds
175,Vostok,RU,46.4856,135.8833,25.74,79,100,5.5,overcast clouds
176,Mananjary,MG,-21.2167,48.3333,72.0,86,39,6.53,scattered clouds
177,Juneau,US,58.3019,-134.4197,33.8,96,90,32.21,light rain
178,Beaumont,US,30.0861,-94.1019,78.8,61,40,8.05,scattered clouds
179,Bengkulu,ID,-3.8004,102.2655,75.51,85,87,5.73,overcast clouds
180,De-Kastri,RU,51.4667,140.7833,28.56,70,100,11.97,overcast clouds
181,Loughrea,IE,53.1969,-8.5669,46.4,87,75,10.36,broken clouds
182,Aquidauana,BR,-20.4711,-55.7872,81.52,50,45,4.5,scattered clouds
183,Ahuimanu,US,21.4447,-157.8378,78.8,50,20,11.5,light rain
184,Riohacha,CO,11.5444,-72.9072,80.35,75,95,12.46,overcast clouds
185,Ryazhsk,RU,53.7038,40.1109,33.01,74,83,7.83,broken clouds
186,Meadow Lake,US,34.8014,-106.5436,78.8,8,75,19.57,broken clouds
187,Makakilo City,US,21.3469,-158.0858,80.6,41,20,11.5,few clouds
